name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Hong_Kong/HKU66/2005|2005-05-21,2005.38356
A/Hong_Kong/HKU73/2005|2005-06-02,2005.41644
A/Georgia/NHRC0001/2006|2006-01-09,2006.02192
A/New_York/1011/2006|2006-01-24,2006.06301
A/New_York/1030/2006|2006-02-27,2006.15616
A/New_York/1000/2005|2005-08-30,2005.66027
A/New_York/1012/2006|2006-01-24,2006.06301
A/New_York/1001/2005|2005-11-10,2005.85753
A/New_York/1003/2005|2005-12-20,2005.96712
A/New_York/1014/2006|2006-02-07,2006.10137
A/New_York/1010/2006|2006-01-13,2006.03288
A/Illinois/NHRC0002/2005|2005-12-23,2005.97534
A/New_York/1009/2006|2006-01-12,2006.03014
A/Hong_Kong/HKU21/2004|2004-06-19,2004.46448
A/Hong_Kong/HKU38/2004|2004-09-23,2004.72678
A/Hong_Kong/HKU40/2004|2004-11-23,2004.89344
A/Hong_Kong/HKU42/2005|2005-01-06,2005.01370
A/Hong_Kong/HKU20/2004|2004-06-15,2004.45355
A/Hong_Kong/HKU37/2004|2004-09-17,2004.71038
A/Hong_Kong/HKU34/2004|2004-08-18,2004.62842
A/Hong_Kong/HKU39/2004|2004-10-18,2004.79508
A/Hong_Kong/HKU35/2004|2004-08-24,2004.64481
A/Hong_Kong/HKU23/2004|2004-07-02,2004.50000
A/Hong_Kong/HKU25/2004|2004-07-07,2004.51366
A/Hong_Kong/HKU31/2004|2004-07-30,2004.57650
A/Hong_Kong/HKU32/2004|2004-08-02,2004.58470
A/Hong_Kong/HKU33/2004|2004-08-09,2004.60383
A/Hong_Kong/HKU19/2004|2004-06-01,2004.41530
A/Hong_Kong/HKU28/2004|2004-07-17,2004.54098
A/Hong_Kong/HKU29/2004|2004-07-21,2004.55191
A/Hong_Kong/HKU30/2004|2004-07-22,2004.55464
A/Hong_Kong/HKU11/2004|2004-03-25,2004.22951
A/Taiwan/9/2004|2004-01-02,2004.00273
A/Hanoi/BM767/2003|2003-06-16,2003.45479
A/Hong_Kong/HKU4/2004|2004-03-01,2004.16393
A/New_York/204/2003|2003-08-16,2003.62192
A/Hanoi/BM766/2003|2003-06-16,2003.45479
A/Mexico/InDRE756/2003|2003-02-04,2003.09315
A/New_York/198/2003|2003-03-08,2003.18082
A/Mexico/DIF835/2003|2003-07-04,2003.50411
A/Mexico/InDRE835/2003|2003-07-04,2003.50411
A/Mexico/DIF940/2003|2003-04-23,2003.30685
A/Mexico/DIF756/2003|2003-02-04,2003.09315
A/Netherlands/213/2003|2003-04-20,2003.29863
A/Netherlands/217/2003|2003-04-20,2003.29863
A/Netherlands/222/2003|2003-04-14,2003.28219
A/New_York/485/2003|2003-01-20,2003.05205
A/Yucatan/ME6057/2003|2003-03-20,2003.21370
A/Malaysia/23606/2002|2002-11-18,2002.87945
A/Yucatan/844/2003|2003-03-19,2003.21096
A/HaNoi/HN695/2003|2003-08-14,2003.61644
A/Netherlands/22/2003|2003-02-23,2003.14521
A/Malaysia/34015/2006|2006-03-16,2006.20274
A/Thailand/MR07011/2007|2007-03-28,2007.23562
A/Taiwan/70113/2007|2007-01-15,2007.03836
A/Thailand/KS07007/2007|2007-05-04,2007.33699
